leaked_bits,sigma,m,seed,epochs,cnn_test_bit_accuracy,cnn_test_prefix_accuracy,cnn_test_exact_prefixes,oracle_hnp_key_recovered,cnn_hnp_key_recovered,hnp_backend,oracle_hnp_runtime_seconds,cnn_hnp_runtime_seconds,oracle_hnp_error,cnn_hnp_error
12,0.0,40,1003,,1.0,1.0,40,,True,fpylll,,0.0973183050000443,,
14,0.0,40,1003,,1.0,1.0,40,,True,fpylll,,0.1614849560000948,,
8,0.05,40,1003,,1.0,1.0,40,,False,fpylll,,0.0947155300000304,,
10,0.05,40,1003,,1.0,1.0,40,,True,fpylll,,0.0908985430005486,,
12,0.05,40,1003,,1.0,1.0,40,,True,fpylll,,0.0948406959996646,,
14,0.05,40,1003,,1.0,1.0,40,,True,fpylll,,0.0913060760003645,,
8,0.1,40,1003,,1.0,1.0,40,,False,fpylll,,0.0918129789997692,,
10,0.1,40,1003,,1.0,1.0,40,,True,fpylll,,0.1035360700007004,,
12,0.1,40,1003,,1.0,1.0,40,,True,fpylll,,0.0944711590000224,,
14,0.1,40,1003,,1.0,1.0,40,,True,fpylll,,0.0966488699996261,,
8,0.15,40,1003,,1.0,1.0,40,,False,fpylll,,0.0966878429999269,,
10,0.15,40,1003,,1.0,1.0,40,,True,fpylll,,0.1134277889996155,,
12,0.15,40,1003,,0.9979166666666668,0.975,39,,True,fpylll,,0.0926989660001709,,
14,0.15,40,1003,,0.9964285714285714,0.975,39,,True,fpylll,,0.0933216550001816,,
8,0.2,40,1003,,1.0,1.0,40,,False,fpylll,,0.1076536360005775,,
10,0.2,40,1003,,0.995,0.95,38,,True,fpylll,,0.1128743150002264,,
12,0.2,40,1003,,0.98125,0.85,34,,True,fpylll,,0.1001959300001544,,
14,0.2,40,1003,,0.9821428571428572,0.85,34,,True,fpylll,,0.6302635860001828,,
8,0.0,40,1004,,1.0,1.0,40,,False,fpylll,,0.1296080720003374,,
10,0.0,40,1004,,1.0,1.0,40,,True,fpylll,,0.2390512929996475,,
12,0.0,40,1004,,1.0,1.0,40,,True,fpylll,,0.1063022869993801,,
14,0.0,40,1004,,1.0,1.0,40,,True,fpylll,,0.1011898719998498,,
8,0.05,40,1004,,1.0,1.0,40,,False,fpylll,,0.1219154680002247,,
10,0.05,40,1004,,1.0,1.0,40,,True,fpylll,,0.1175421550005921,,
12,0.05,40,1004,,1.0,1.0,40,,True,fpylll,,0.1038276899998891,,
14,0.05,40,1004,,1.0,1.0,40,,True,fpylll,,0.1140391520002594,,
8,0.1,40,1004,,1.0,1.0,40,,False,fpylll,,0.0959079020003628,,
10,0.1,40,1004,,1.0,1.0,40,,True,fpylll,,0.123122512000009,,
12,0.1,40,1004,,1.0,1.0,40,,True,fpylll,,0.0971809669999856,,
14,0.1,40,1004,,1.0,1.0,40,,True,fpylll,,0.1250425859998358,,
8,0.15,40,1004,,1.0,1.0,40,,False,fpylll,,0.1131460999995397,,
10,0.15,40,1004,,1.0,1.0,40,,True,fpylll,,0.0943134629997075,,
12,0.15,40,1004,,1.0,1.0,40,,True,fpylll,,0.0936350249994575,,
14,0.15,40,1004,,1.0,1.0,40,,True,fpylll,,0.0921012830003746,,
8,0.2,40,1004,,0.99375,0.975,39,,False,fpylll,,0.1415482989996235,,
10,0.2,40,1004,,0.995,0.975,39,,True,fpylll,,0.1712660379998851,,
12,0.2,40,1004,,0.99375,0.95,38,,True,fpylll,,0.0977050090004922,,
14,0.2,40,1004,,0.9928571428571428,0.95,38,,True,fpylll,,0.2565497919995323,,
8,0.0,40,1005,,1.0,1.0,40,,False,fpylll,,0.1353595609998592,,
10,0.0,40,1005,,1.0,1.0,40,,True,fpylll,,0.0937545199994929,,
12,0.0,40,1005,,1.0,1.0,40,,True,fpylll,,0.0932162639992384,,
14,0.0,40,1005,,1.0,1.0,40,,True,fpylll,,0.0943846089994622,,
8,0.05,40,1005,,1.0,1.0,40,,False,fpylll,,0.0932742019995203,,
10,0.05,40,1005,,1.0,1.0,40,,True,fpylll,,0.133933512999647,,
12,0.05,40,1005,,1.0,1.0,40,,True,fpylll,,0.1031146779996561,,
14,0.05,40,1005,,1.0,1.0,40,,True,fpylll,,0.0992034820001208,,
8,0.1,40,1005,,1.0,1.0,40,,False,fpylll,,0.1074987969996073,,
10,0.1,40,1005,,1.0,1.0,40,,True,fpylll,,0.0946612539992202,,
12,0.1,40,1005,,1.0,1.0,40,,True,fpylll,,0.0970280130004539,,
14,0.1,40,1005,,1.0,1.0,40,,True,fpylll,,0.1273028479999993,,
8,0.15,40,1005,,1.0,1.0,40,,False,fpylll,,0.0941386539998347,,
10,0.15,40,1005,,1.0,1.0,40,,True,fpylll,,0.0919475720002083,,
12,0.15,40,1005,,1.0,1.0,40,,True,fpylll,,0.1051802440006213,,
14,0.15,40,1005,,1.0,1.0,40,,True,fpylll,,0.0912654669991752,,
8,0.2,40,1005,,0.984375,0.925,37,,False,fpylll,,0.0941216870005519,,
10,0.2,40,1005,,0.985,0.925,37,,True,fpylll,,0.0967693439997674,,
12,0.2,40,1005,,0.9875,0.925,37,,True,fpylll,,0.1227252540002155,,
14,0.2,40,1005,,0.9892857142857144,0.925,37,,True,fpylll,,0.0953971190001539,,
8,0.0,40,1006,,1.0,1.0,40,,False,fpylll,,0.0907870900000489,,
10,0.0,40,1006,,1.0,1.0,40,,True,fpylll,,0.1092655069996908,,
12,0.0,40,1006,,1.0,1.0,40,,True,fpylll,,0.6682637630001409,,
14,0.0,40,1006,,1.0,1.0,40,,True,fpylll,,0.0963048679996063,,
8,0.05,40,1006,,1.0,1.0,40,,False,fpylll,,0.0975239789995612,,
10,0.05,40,1006,,1.0,1.0,40,,True,fpylll,,0.1128038729993932,,
12,0.05,40,1006,,1.0,1.0,40,,True,fpylll,,0.1394482850000713,,
14,0.05,40,1006,,1.0,1.0,40,,True,fpylll,,0.107792122000319,,
8,0.1,40,1006,,1.0,1.0,40,,False,fpylll,,0.091143835999901,,
10,0.1,40,1006,,1.0,1.0,40,,True,fpylll,,0.1045082860000548,,
12,0.1,40,1006,,1.0,1.0,40,,True,fpylll,,0.1048459949997777,,
14,0.1,40,1006,,1.0,1.0,40,,True,fpylll,,0.1131554389994562,,
8,0.15,40,1006,,1.0,1.0,40,,False,fpylll,,0.0999837089993889,,
10,0.15,40,1006,,1.0,1.0,40,,True,fpylll,,0.1199233800007277,,
12,0.15,40,1006,,1.0,1.0,40,,True,fpylll,,0.0999917999997705,,
14,0.15,40,1006,,1.0,1.0,40,,True,fpylll,,0.1064560309996522,,
8,0.2,40,1006,,0.984375,0.925,37,,False,fpylll,,0.0922338749996924,,
10,0.2,40,1006,,0.985,0.925,37,,True,fpylll,,0.0943491610005367,,
12,0.2,40,1006,,0.9875,0.925,37,,True,fpylll,,0.0894633440002508,,
14,0.2,40,1006,,0.9892857142857144,0.925,37,,True,fpylll,,0.1045559150006738,,
8,0.0,40,1007,,1.0,1.0,40,,False,fpylll,,0.0898640159994101,,
10,0.0,40,1007,,1.0,1.0,40,,True,fpylll,,0.0950746070002424,,
12,0.0,40,1007,,1.0,1.0,40,,True,fpylll,,0.0925605950005774,,
14,0.0,40,1007,,1.0,1.0,40,,True,fpylll,,0.0903586240001459,,
8,0.05,40,1007,,1.0,1.0,40,,False,fpylll,,0.0913314749996061,,
10,0.05,40,1007,,1.0,1.0,40,,True,fpylll,,0.1081353039999157,,
12,0.05,40,1007,,1.0,1.0,40,,True,fpylll,,0.1042734289994768,,
14,0.05,40,1007,,1.0,1.0,40,,True,fpylll,,0.0946059990001231,,
8,0.1,40,1007,,1.0,1.0,40,,False,fpylll,,0.1190649469999698,,
10,0.1,40,1007,,1.0,1.0,40,,True,fpylll,,0.3317027869998128,,
12,0.1,40,1007,,1.0,1.0,40,,True,fpylll,,0.094319544999962,,
14,0.1,40,1007,,1.0,1.0,40,,True,fpylll,,0.1006531399998493,,
8,0.15,40,1007,,1.0,1.0,40,,False,fpylll,,0.1265428149999934,,
10,0.15,40,1007,,0.995,0.975,39,,True,fpylll,,0.0926956049997898,,
12,0.15,40,1007,,0.9958333333333332,0.975,39,,True,fpylll,,0.1063086909998674,,
14,0.15,40,1007,,0.9964285714285714,0.975,39,,True,fpylll,,0.094487692000257,,
8,0.2,40,1007,,0.990625,0.95,38,,False,fpylll,,0.0915749340001639,,
10,0.2,40,1007,,0.985,0.925,37,,True,fpylll,,0.104260854000131,,
12,0.2,40,1007,,0.9875,0.925,37,,True,fpylll,,0.0927513229999021,,
14,0.2,40,1007,,0.9875,0.9,36,,True,fpylll,,0.0899528179998014,,
8,0.0,40,1008,,1.0,1.0,40,,False,fpylll,,0.1075037270002212,,
10,0.0,40,1008,,1.0,1.0,40,,True,fpylll,,0.1028056820005076,,
12,0.0,40,1008,,1.0,1.0,40,,True,fpylll,,0.091924354999719,,
14,0.0,40,1008,,1.0,1.0,40,,True,fpylll,,0.0900485580004897,,
8,0.05,40,1008,,1.0,1.0,40,,False,fpylll,,0.0891109760004837,,
10,0.05,40,1008,,1.0,1.0,40,,True,fpylll,,0.0982266930004698,,
12,0.05,40,1008,,1.0,1.0,40,,True,fpylll,,0.1255148569998709,,
14,0.05,40,1008,,1.0,1.0,40,,True,fpylll,,0.1393096029996741,,
